"name";"lat";"lng";"postal_code";"population"
"New York, NY";40.761349;-73.980949;"";1625513
"Staten Island, NY";40.586802;-74.146647;"";473324
"Bronx, NY";40.848993;-73.87815;"";1438753
"Amawalk, NY";41.2946;-73.7611;"";1226
"Ardsley, NY";41.0113;-73.8413;"";5513
"Ardsley On Hudson, NY";41.0259;-73.8718;"";137
"Armonk, NY";41.136;-73.7009;"";7903
"Baldwin Place, NY";41.3421;-73.7454;"";905
"Bedford, NY";41.1909;-73.6355;"";5963
"Bedford Hills, NY";41.2344;-73.6915;"";6859
"Brewster, NY";41.4097;-73.5992;"";19419
"Briarcliff Manor, NY";41.1444;-73.835;"";10423
"Buchanan, NY";41.2583;-73.9412;"";2263
"Carmel, NY";41.4432;-73.6815;"";25076
"Chappaqua, NY";41.1705;-73.7715;"";12688
"Cold Spring, NY";41.4414;-73.9335;"";5486
"Crompond, NY";41.3006;-73.8612;"";584
"Cross River, NY";41.2722;-73.602;"";1478
"Croton Falls, NY";41.3477;-73.661;"";137
"Croton On Hudson, NY";41.226151;-73.909298;"";12797
"Dobbs Ferry, NY";41.0118;-73.8665;"";11058
"Elmsford, NY";41.0572;-73.8136;"";9058
"Garrison, NY";41.3621;-73.92;"";4268
"Goldens Bridge, NY";41.3004;-73.6479;"";1522
"Granite Springs, NY";41.3098;-73.753;"";836
"Harrison, NY";40.9719;-73.7181;"";13066
"Hartsdale, NY";41.0197;-73.8074;"";12800
"Hawthorne, NY";41.1073;-73.796;"";5019
"Irvington, NY";41.0381;-73.8597;"";7590
"Jefferson Valley, NY";41.3385;-73.7947;"";685
"Katonah, NY";41.2709;-73.6841;"";10775
"Lake Peekskill, NY";41.3374;-73.8838;"";1541
"Larchmont, NY";40.9351;-73.7571;"";16718
"Mahopac, NY";41.3717;-73.7508;"";26371
"Mamaroneck, NY";40.9525;-73.735;"";20643
"Maryknoll, NY";41.119;-73.733;"";131
"Millwood, NY";41.2015;-73.7926;"";1433
"Mohegan Lake, NY";41.3143;-73.8508;"";7461
"Montrose, NY";41.2496;-73.9446;"";3398
"Mount Kisco, NY";41.205;-73.7299;"";16557
"Mount Vernon, NY";40.91305;-73.831775;"";67905
"North Salem, NY";41.3414;-73.5929;"";4930
"Ossining, NY";41.1673;-73.8538;"";31745
"Peekskill, NY";41.2892;-73.9184;"";23977
"Cortlandt Manor, NY";41.284;-73.8931;"";20652
"Pleasantville, NY";41.135;-73.7845;"";12966
"Port Chester, NY";41.0222;-73.6798;"";38958
"Pound Ridge, NY";41.2042;-73.5732;"";4878
"Purchase, NY";41.0384;-73.7156;"";6508
"Purdys, NY";41.3259;-73.6551;"";843
"Putnam Valley, NY";41.3728;-73.8502;"";9438
"Rye, NY";40.9734;-73.6907;"";17270
"Scarsdale, NY";40.9927;-73.7995;"";40054
"Shrub Oak, NY";41.3286;-73.8273;"";2748
"Somers, NY";41.3346;-73.6951;"";9229
"South Salem, NY";41.2553;-73.5402;"";6937
"Tarrytown, NY";41.0897;-73.844;"";23394
"Thornwood, NY";41.1182;-73.7733;"";5076
"Valhalla, NY";41.0856;-73.7776;"";8237
"Verplanck, NY";41.2548;-73.9587;"";1727
"Waccabuc, NY";41.3032;-73.6032;"";1154
"Yorktown Heights, NY";41.2999;-73.7924;"";29489
"White Plains, NY";41.044931;-73.769105;"";71536
"West Harrison, NY";41.0592;-73.7395;"";11153
"Yonkers, NY";40.938335;-73.874753;"";180615
"Hastings On Hudson, NY";40.9878;-73.863;"";8776
"Tuckahoe, NY";40.9569;-73.8198;"";10253
"Bronxville, NY";40.9391;-73.8353;"";22632
"Eastchester, NY";40.955;-73.8086;"";9090
"New Rochelle, NY";40.91935;-73.78435;"";75291
"Pelham, NY";40.9045;-73.8073;"";12560
"Suffern, NY";41.1177;-74.1241;"";23959
"Arden, NY";41.3862;-74.1257;"";27
"Bear Mountain, NY";41.1609;-74.0608;"";0
